word,frequency,definition
Guide,3.0,one that leads or directs another's way
admissible,15.0,capable of being allowed or conceded permissible evidence legally admissible in court
exclusionary,1.0,the act or an instance of excluding
preponderance,2.0,"a superiority in weight, power, importance, or strength"
scintilla,2.0,"spark, trace not a scintilla of doubt"
Rules,1.0,a prescribed guide for conduct or action
Evidence,1.0,an outward sign indication
peacefulness,1.0,peaceable sense 1 They are a peaceful people.
testimonial,1.0,a statement testifying to benefits received
corroborating,1.0,to support with evidence or authority make more certain
maps,2.0,a representation usually on a flat surface of the whole or a part of an area
probative,1.0,serving to test or try exploratory
inferences,4.0,something that is inferred
circumstantial,1.0,"belonging to, consisting in, or dependent on circumstances a circumstantial case circumstantial factors circumstantial evidence"
witnesses,5.0,attestation of a fact or event testimony
hearsay,5.0,rumor like the hearsays bandied about by the medievalists— S. N. Behrman
demonstrative,3.0,demonstrating as real or true
impeach,2.0,to charge with a crime or misdemeanor
extrinsic,2.0,not forming part of or belonging to a thing extraneous
reopening,1.0,to open again
unavailable,3.0,not availablesuch as
parol,1.0,word of mouth
prima,1.0,"first, leading"
facie,1.0,at first view on the first appearance
justify,3.0,"to prove or show to be just, right, or reasonable"
refute,1.0,to prove wrong by argument or evidence show to be false or erroneous
disprove,3.0,to prove to be false or wrong refute disprove a theory
impeachment,2.0,to charge with a crime or misdemeanor
sinful,2.0,"tainted with, marked by, or full of sin wicked"
imputed,2.0,to lay the responsibility or blame for (something) often falsely or unjustly
repulsion,2.0,the action of repulsing the state of being repulsed
pernicious,2.0,highly injurious or destructive deadly
cosmic,2.0,"of or relating to the cosmos, the extraterrestrial vastness, or the universe in contrast to the earth alone"
wickedness,5.0,the quality or state of being wicked
Esther,5.0,the Jewish heroine of the Old Testament book of Esther
Forbes,6.0,Sir Johnston 1853–1937 English actor
Exodus,1.0,the mainly narrative second book of canonical Jewish and Christian Scripture — see Bible Table
Exchequer,1.0,a department or office of state in medieval England charged with the collection and management of the royal revenue and judicial determination of all revenue causes
revenge,5.0,to avenge (oneself or another) usually by retaliating in kind or degree
enlarge,6.0,to make larger extend enlarged the family fortune with new investments
overstate,1.0,to state in too strong terms exaggerate overstated his qualifications
exaggerates,1.0,to enlarge beyond bounds or the truth overstate a friend exaggerates a man's virtues— Joseph Addison
virtues,1.0,conformity to a standard of right morality
Addison,1.0,Joseph 1672–1719 English essayist and poet
overemphasize,1.0,to give excessive emphasis to (something)
overstatement,1.0,to state in too strong terms exaggerate overstated his qualifications
interrogation,4.0,the act of interrogating someone or somethingsuch as
inspecting,9.0,to view closely in critical appraisal look over
abnormality,3.0,something abnormal
recross,1.0,to cross againsuch as
redirect,3.0,to change the course or direction of
affidavit,4.0,a sworn statement in writing made especially under oath or on affirmation (see affirmation sense 2) before an authorized magistrate or officer
erection,2.0,the state marked by firm turgid form and erect or elevated position of a previously flaccid bodily part containing cavernous tissue when that tissue becomes dilated with blood
textiles,4.0,cloth sense 1a
countenance,3.0,"look, expression … a countenance which expressed both good humor and intelligence …— Sir Walter Scott"
facial,13.0,of or relating to the face
distaste,10.0,to feel aversion to
disguise,5.0,to change the customary dress (see dress entry 2 sense 1) or appearance of
adversity,8.0,a state or instance of serious or continued difficulty or misfortune
prestige,10.0,standing or estimation in the eyes of people weight or credit in general opinion
facade,2.0,the front of a building
drift,5.0,the act of driving something along
progressing,4.0,a royal journey marked by pomp and pageant
Randy,2.0,having a coarse manner
overconfident,4.0,excessively or unjustifiably confident having too much confidence (as in one's abilities or judgment)
persona,2.0,a character assumed by an author in a written work
smugness,2.0,highly self-satisfied
struggling,2.0,to make strenuous or violent efforts in the face of difficulties or opposition
treachery,2.0,violation of allegiance or of faith and confidence treason
confronting,2.0,to face especially in challenge oppose confront an enemy The mayor was confronted by a group of protesters.
prospect,12.0,exposure sense 3b
confronted,5.0,to face especially in challenge oppose confront an enemy The mayor was confronted by a group of protesters.
hinges,1.0,"a jointed or flexible device on which a door, lid, or other swinging part turns"
feat,8.0,a deed notable especially for courage
earliest,8.0,near the beginning of a period of time
adjudicative,1.0,to make an official decision about who is right in (a dispute) to settle judicially
purchasing,3.0,to obtain by paying money or its equivalent buy
evidentiary,5.0,"being, relating to, or affording evidence photographs of evidentiary value"
lends,6.0,to give for temporary use on condition that the same or its equivalent be returned
producers,2.0,one that produces
dealers,2.0,to concern oneself or itself
actively,22.0,characterized by action rather than by contemplation or speculation
contributes,5.0,to give or supply in common with others
instinct,4.0,"a natural or inherent aptitude, impulse, or capacity"
psychologists,2.0,"a person who specializes in the study of mind and behavior or in the treatment of mental, emotional, and behavioral disorders a specialist in psychology"
prerogative,1.0,"an exclusive or special right, power, or privilegesuch as"
invincible,1.0,"incapable of being conquered, overcome, or subdued"
MacArthur,1.0,Charles 1895–1956 American dramatist
undone,5.0,not done not performed or finished
toast,3.0,sliced bread browned on both sides by heat
fulfilling,4.0,providing happiness or satisfaction
fracturing,1.0,the result of fracturing break
neglecting,1.0,to give little attention or respect to disregard The building has been neglected for years.
succeeded,4.0,to come next after another in office or position or in possession of an estate
adequacy,1.0,the quality or state of being adequate
vague,7.0,not clearly expressed stated in indefinite terms
weakly,2.0,"feeble, weak"
languidly,2.0,drooping or flagging from or as if from exhaustion weak arms too languid with happiness to embrace him— John Galsworthy
fainting,5.0,hardly perceptible dim faint handwriting
syncope,4.0,loss of consciousness resulting from insufficient blood flow to the brain faint
tasted,6.0,to ascertain the flavor of by taking a little into the mouth
impartiality,4.0,not partial or biased treating or affecting all equally
favoritism,4.0,the showing of special favor partiality
ridicule,18.0,"the act of ridiculing derision, mockery"
ample,13.0,"generous or more than adequate in size, scope, or capacity"
flawless,3.0,"having no flaw or imperfection perfect a flawless performance flawless beauty flawless diction The decor is elegant, the service is flawless and the food is exquisite.— Anthony Dias Blue"
specious,2.0,having a false look of truth or genuineness sophistic specious reasoning
amusements,4.0,a means of amusing or entertaining
acquaint,2.0,to cause to know personally
availability,4.0,the quality or state of being available trying to improve the availability of affordable housing
opportunities,3.0,a favorable juncture of circumstances the halt provided an opportunity for rest and refreshment
assorted,2.0,suited especially by nature or character
fortunate,18.0,bringing some good thing not foreseen as certain auspicious made a fortunate investment
sincerity,11.0,the quality or state of being sincere honesty of mind freedom from hypocrisy
doctrines,2.0,a principle or position or the body of principles in a branch of knowledge or system of belief dogma Catholic doctrine
faiths,1.0,allegiance to duty or a person loyalty lost faith in the company's president
counterfeit,8.0,made in imitation of something else with intent to deceive forged counterfeit money a counterfeit diamond
smiled,4.0,"to have, produce, or exhibit a smile"
fakest,3.0,"not true, real, or genuine counterfeit, sham He was wearing a fake mustache. She held up the bowl to the window light and smiled her fakest smile yet …— Lee Durkee"
purports,3.0,"to have the often specious appearance of being, intending, or claiming (something implied or inferred)"
impostor,3.0,one that assumes false identity or title for the purpose of deception
charlatan,3.0,quack entry 4 sense 2 charlatans harming their patients with dubious procedures
simulated,3.0,made to look genuine fake simulated pearls
pretended,11.0,professed or avowed but not genuine
magician,3.0,one skilled in magic
manipulate,11.0,to treat or operate with or as if with the hands or by mechanical means especially in a skillful manner
spuriously,3.0,of illegitimate birth bastard
lib,4.0,liberation sense 2
faking,7.0,"not true, real, or genuine counterfeit, sham He was wearing a fake mustache. She held up the bowl to the window light and smiled her fakest smile yet …— Lee Durkee"
fakes,3.0,"not true, real, or genuine counterfeit, sham He was wearing a fake mustache. She held up the bowl to the window light and smiled her fakest smile yet …— Lee Durkee"
lips,44.0,either of two fleshy folds that surround the mouth in humans and many other vertebrates and are organs of human speech essential to certain articulations
stumble,7.0,to fall into sin or waywardness
chastity,7.0,the quality or state of being chastesuch as
abate,3.0,to decrease in force or intensity
devolve,2.0,"to pass on (something, such as responsibility, rights, or powers) from one person or entity to another"
passively,2.0,acted upon by an external agency
heartily,4.0,in a hearty manner
impinge,4.0,"encroach, infringe impinge on other people's rights"
succumb,2.0,to yield to superior strength or force or overpowering appeal or desire
imprisoned,2.0,to put in or as if in prison confine
lag,9.0,one that lags or is last
reconcile,3.0,to restore to friendship or harmony reconciled the factions
meteorites,2.0,a meteor that reaches the surface of the earth without being completely vaporized
gracefully,8.0,"displaying grace (see grace entry 1 sense 3) in form or action pleasing or attractive in line, proportion, or movement"
turnover,3.0,the amount received in sales for a stated period
crease,6.0,"a line, mark, or ridge made by or as if by folding a pliable substance"
drooping,6.0,to hang or incline downward
iris,6.0,the opaque contractile diaphragm perforated by the pupil and forming the colored portion of the eye — see eye illustration
8b,2.0,a bluish red disazo direct dye
hoisting,2.0,"lift, raise"
Empire,3.0,a major political unit having a territory of great extent or a number of territories or peoples under a single sovereign authority
misdeed,4.0,a wrong deed offense
declivity,5.0,downward inclination
precipitous,3.0,precipitate sense 2
waterfall,6.0,a perpendicular or very steep descent of the water of a stream
intonation,4.0,manner of utterance
felling,2.0,"skin, hide, pelt"
wrestler,4.0,to contend by grappling with and striving to trip or throw an opponent down or off balance
mat,4.0,"a piece of coarse, woven, plaited, or felted fabric used especially as a floor covering or a support"
bout,3.0,a spell or period of activitysuch as
destiny,6.0,something to which a person or thing is destined fortune wants to control his own destiny
topple,4.0,to fall from or as if from being top-heavy
upright,55.0,"perpendicular, vertical"
Witch,5.0,one that is credited with usually malignant supernatural powers
siege,6.0,a military blockade of a city or fortified place to compel it to surrender
Lion,3.0,a large heavily built social cat (Panthera leo) of open or rocky areas chiefly of sub-Saharan Africa though once widely distributed throughout Africa and southern Asia that has a tawny body with a tufted tail and a shaggy blackish or dark brown mane in the male
Wardrobe,3.0,a collection of wearing apparel (as of one person or for one activity)
downfall,2.0,a sudden fall (as from power)
Niagara,2.0,an overwhelming flood torrent a Niagara of protests
Falls,2.0,to descend freely by the force of gravity
mislead,2.0,to lead in a wrong direction or into a mistaken action or belief often by deliberate deceit
treacherous,2.0,likely to betray trust unreliable a treacherous memory
inaccurate,7.0,not accurate faulty inaccurate information
threateningly,3.0,to utter threats against
faithless,1.0,"not true to allegiance or duty treacherous, disloyal a faithless servant"
treacherously,1.0,likely to betray trust unreliable a treacherous memory
Maniac,4.0,"madman, lunatic"
knowingly,3.0,"having or reflecting knowledge, information, or intelligence"
renown,4.0,a state of being widely acclaimed and highly honored fame
repute,2.0,"believe, consider"
acquainted,11.0,having personal knowledge of something having seen or experienced something
frequents,1.0,"to associate with, be in, or resort to often or habitually"
affable,1.0,being pleasant and at ease in talking to others
celebrations,1.0,to perform (a sacrament or solemn ceremony) publicly and with appropriate rites
frequented,4.0,"to associate with, be in, or resort to often or habitually"
informality,1.0,marked by the absence of formality or ceremony
grossly,2.0,glaringly noticeable usually because of inexcusable badness or objectionableness
traditionally,14.0,of or relating to tradition consisting of or derived from tradition
rearing,8.0,to erect by building construct
ancestry,14.0,line of descent lineage
convictions,9.0,the act or process of finding a person guilty of a crime especially in a court of law
affiliation,8.0,"the state or relation of being closely associated or affiliated with a particular person, group, party, company, etc."
President,5.0,an official chosen to preside over a meeting or assembly
soils,2.0,to stain or defile morally corrupt
subgroup,4.0,a subordinate group whose members usually share some common differential quality
ancestral,2.0,"of, relating to, or inherited from an ancestor ancestral estates"
equations,3.0,the act or process of equating
syndicate,7.0,a council or body of syndics
Mafia,2.0,a secret criminal society of Sicily or Italy
honored,1.0,good name or public esteem reputation
winnowing,4.0,"to remove (something, such as chaff) by a current of air"
mounted,21.0,a high hill mountain —used especially before an identifying nameMount Everest
slats,3.0,"strike, pummel"
pivot,5.0,a shaft or pin on which something turns
compactly,6.0,"predominantly formed or filled composed, made Miss Austen's novels are compact of delicate trivialities …— Samuel Alexander"
vanes,5.0,a movable device attached to an elevated object (such as a spire) for showing the direction of the wind
rotated,2.0,having the parts flat and spreading or radiating like the spokes of a wheel
axle,8.0,a pin or shaft on or with which a wheel or pair of wheels revolves
detritus,2.0,loose material (such as rock fragments or organic particles) that results directly from disintegration
alluvial,2.0,"relating to, composed of, or found in alluvium alluvial soil alluvial diamonds"
impel,13.0,to urge or drive forward or on by or as if by the exertion of strong moral pressure force felt impelled to correct the misconception
fanning,4.0,any of various devices for winnowing grain
fires,2.0,"the phenomenon of combustion manifested in light, flame, and heat"
nationalism,2.0,loyalty and devotion to a nation
spank,2.0,to strike especially on the buttocks with the open hand
successively,7.0,following in order following each other without interruption
flutter,8.0,to flap the wings rapidly
enthusiast,4.0,a person filled with enthusiasmsuch as
celebrity,5.0,the state of being celebrated fame The actress lived a life of celebrity.
follower,4.0,one in the service of another retainer
conception,18.0,the process of becoming pregnant involving fertilization or implantation or both
visualize,4.0,to make visiblesuch as
caprice,1.0,"a sudden, impulsive, and seemingly unmotivated notion or action"
mutt,1.0,a stupid or insignificant person fool
amorous,8.0,strongly moved by love and especially sexual love
whim,3.0,a capricious or eccentric and often sudden idea or turn of the mind fancy quit his job on a whim
fantastic,2.0,based on fantasy (see fantasy entry 1 sense 2) not real
capricious,3.0,"governed or characterized by caprice impulsive, unpredictable"
delusive,3.0,likely to delude delusive promises
whimsical,1.0,resulting from or characterized by whim or caprice
swank,1.0,"show off, swagger"
posh,1.0,"elegant, fashionable a posh restaurant"
bizarre,1.0,strikingly out of the ordinarysuch as
conceptions,5.0,the process of becoming pregnant involving fertilization or implantation or both
extravagant,7.0,exceeding the limits of reason or necessity
parti,1.0,match entry 1 sense 4b
carnations,1.0,a plant of any of numerous often cultivated and usually double-flowered varieties or subspecies of an Old World pink (Dianthus caryophyllus) found in many color variations
neighbors,6.0,one living or located near another
Wizard,3.0,one skilled in magic sorcerer
fancied,2.0,imagined or believed to be true or real
Paterson,1.0,"city in northeastern New Jersey on the Passaic River north of Newark population 146,199"
Jacob,1.0,"a son of Isaac and Rebekah, the twin brother of Esau, and heir of God's promise of blessing to Abraham"
Have,1.0,"to hold or maintain as a possession, privilege, or entitlement"
Loved,1.0,strong affection for another arising out of kinship or personal ties
revenues,4.0,the total income produced by a given source
agricultural,3.0,"of, relating to, used in, or concerned with agriculture"
aquatic,5.0,growing or living in or frequenting water
subsidiary,3.0,furnishing aid or support auxiliary subsidiary details
antennas,1.0,"one of a pair of slender, movable, segmented sensory organs on the head of insects, myriapods, and crustaceans — see insect illustration"
tanks,1.0,"a usually large receptacle for holding, transporting, or storing liquids (such as water or fuel)"
oysters,2.0,any of various marine bivalve mollusks (family Ostreidae) that have a rough irregular shell closed by a single adductor muscle and include commercially important shellfish
shellfish,2.0,an aquatic invertebrate animal with a shell
cultivates,1.0,to prepare or prepare and use for the raising of crops
yokel,1.0,a naive or gullible inhabitant of a rural area or small town
bumpkin,1.0,an awkward and unsophisticated rustic
Fannie,1.0,— compare FNMA — see also Federal Housing Finance Agency
Merritt,1.0,island 40 miles (64 kilometers) long in eastern Florida west of Canaveral Peninsula between the Indian River and the Banana River
cookery,1.0,the art or practice of cooking
Leonard,3.0,"former town in southern Quebec, Canada, that is now part of Montreal (city)"
signalized,1.0,"to make conspicuous distinguish, mark"
Tale,4.0,a usually imaginative narrative of an event story
adhering,8.0,"to hold fast or stick by or as if by gluing, suction, grasping, or fusing"
swift,9.0,moving or capable of moving with great speed
quickness,3.0,acting or capable of acting with speedsuch as
agile,6.0,marked by ready ability to move with quick easy grace
rapidity,11.0,the quality or state of being rapid
shady,4.0,producing or affording shade
tenacious,2.0,not easily pulled apart cohesive a tenacious metal
fading,4.0,"to lose freshness, strength, or vitality wither fading flowers"
fasting,11.0,firmly fixed
mooring,2.0,an act of making fast a boat or aircraft with lines or anchors
pinning,2.0,a piece of solid material (such as wood or metal) used especially for fastening things together or as a support by which one thing may be suspended from another
nailing,3.0,a horny sheath protecting the upper end of each finger and toe of humans and most other primates
objectionably,1.0,"undesirable, offensive"
plump,2.0,"to drop, sink, or come in contact suddenly or heavily"
cute,2.0,clever or shrewd often in an underhanded manner
oily,18.0,"of, relating to, or consisting of oil"
greasy,19.0,smeared or soiled with grease greasy clothes
gorgeous,2.0,splendidly or showily brilliant or magnificent
Digest,2.0,a summation or condensation of a body of informationsuch as
stocked,6.0,a store or supply accumulated or available
richly,5.0,in a rich manner
rewarding,8.0,"yielding or likely to yield a reward valuable, satisfying a rewarding experience"
practically,9.0,in a practical manner
nonexistent,2.0,not in actual or present occurrence not existing
fertile,5.0,producing or bearing many crops in great quantities productive fertile fields of corn and oats
Wodehouse,2.0,Grenville 1881–1975 American (English-born) writer
swollen,6.0,protuberant or abnormally distended (as by injury or disease)
fatten,2.0,"to make fat, fleshy, or plump"
distended,6.0,"enlarged, expanded, or stretched out (as from internal pressure)"
adipose,4.0,of or relating to animal fat
glycerides,4.0,an ester of glycerol especially with fatty acids
fatty,15.0,containing fat especially in unusual amounts
semisolid,5.0,having the qualities of both a solid and a liquid highly viscous
richest,4.0,having abundant possessions and especially material wealth
obesity,4.0,a condition characterized by the excessive accumulation and storage of fat in the body
superfluity,2.0,"excess, oversupply"
Ray,3.0,"any of an order (Rajiformes) of usually marine cartilaginous fishes (such as stingrays and skates) having the body flattened dorsoventrally, the eyes on the upper surface, and enlarged pectoral fins fused with the head"
superfluous,13.0,exceeding what is sufficient or necessary extra
obese,2.0,having excessive body fat
ether,4.0,the rarefied element formerly believed to fill the upper regions of space
fatness,2.0,notable for having an unusual amount of fat:
June,11.0,the sixth month of the Gregorian calendar
goddesses,1.0,a female god
Atropos,1.0,"a genus of Eurasian and African herbs (as belladonna) of the family Solanaceae that have entire leaves, a usually bell-shaped calyx and corolla, and a fruit that is a berry and that are a source of medicinal alkaloids (as atropine and scopolamine)"
Lachesis,1.0,a genus of American pit vipers comprising the bushmaster and related snakes that are sometimes included in the genus Trimeresurus
mythology,1.0,an allegorical narrative
destine,7.0,to decree beforehand predetermine was not destined to attain the throne
doom,2.0,a law or ordinance especially in Anglo-Saxon England
comrades,1.0,"an intimate friend or associate companion "" … reflecting upon all my comrades that were drowned … ""— Daniel Defoe"
begotten,4.0,brought into existence by or as if by a parent
Trinity,4.0,"the unity of Father, Son, and Holy Spirit as three persons in one Godhead according to Christian dogma"
forefather,1.0,ancestor sense 1a
founding,1.0,"having all usual, standard, or reasonably expected equipment"
fathers,1.0,a male parent
pre,1.0,earlier than prior to before
Scholastic,1.0,of or relating to Scholasticism
scholastic,3.0,of or relating to Scholasticism
institutes,1.0,something that is institutedsuch as
Lena,1.0,river about 2700 miles (4345 kilometers) long in eastern Russia in Asia flowing from the mountains west of Lake Baikal northeast and north into the Laptev Sea through a wide delta
Whitney,3.0,Eli 1765–1825 American inventor
prototype,6.0,an original model on which something is patterned archetype
libraries,1.0,"a place in which literary, musical, artistic, or reference materials (such as books, manuscripts, recordings, or films) are kept for use but not for sale"
founder,8.0,one that founds or establishes
paternity,1.0,the quality or state of being a father
foist,3.0,to introduce or insert surreptitiously or without warrant
cares,2.0,suffering of mind grief
invents,1.0,"to produce (something, such as a useful device or process) for the first time through the use of the imagination or of ingenious thinking and experiment"
Hint,4.0,a statement that expresses indirectly what one prefers not to say explicitly
vice,4.0,moral depravity or corruption wickedness
defect,21.0,"an imperfection or abnormality that impairs quality, function, or utility shortcoming, flaw carefully inspect a tire for defects examined the porcelain for defects a moral defect in his nature neural tube defects defects of metabolism"
misplacement,1.0,to put in a wrong or inappropriate place
crust,4.0,the hardened exterior or surface part of bread
Forgetfulness,1.0,likely to forget
fad,4.0,a practice or interest followed for a time with exaggerated zeal craze
gracious,3.0,marked by kindness and courtesy
conceded,2.0,to acknowledge grudgingly or hesitantly
graces,2.0,unmerited divine assistance given to humans for their regeneration or sanctification
unpopular,2.0,not popular viewed or received unfavorably by the public
disliked,3.0,a feeling of aversion or disapproval
facilitate,12.0,to make easier help bring about
outing,2.0,a brief usually outdoor pleasure trip
favors,9.0,friendly regard shown toward another especially by a superior
awe,5.0,"an emotion variously combining dread, veneration, and wonder that is inspired by authority or by the sacred or sublime stood in awe of the king regard nature's wonders with awe"
reverential,2.0,expressing or having a quality of reverence reverential awe
fright,14.0,fear excited by sudden danger alarm gave me quite a fright
timorous,1.0,of a timid disposition fearful reproached myself with being so timorous and cautious— Daniel Defoe
epidermal,2.0,"of, relating to, or arising from the epidermis"
outgrowths,2.0,a process or product of growing out
plume,1.0,a feather of a birdsuch as
vane,5.0,a movable device attached to an elevated object (such as a spire) for showing the direction of the wind
plumage,2.0,the feathers of a bird
flock,10.0,a group of animals (such as birds or sheep) assembled or herded together
attire,5.0,"to put garments on dress, array … proceeded to attire herself for a professional visit.— Charles Dickens The guests were formally attired. [=wearing formal clothing] especially to clothe in fancy or rich garments dancers attired in colorful costumes"
ruffled,1.0,affected by a loss of calmness or composure
feathering,2.0,a covering of feathers plumage
fin,3.0,an external membranous process of an aquatic animal (such as a fish) used in propelling or guiding the body — see fish illustration
feathery,1.0,"resembling, suggesting, or covered with feathers"
clothe,5.0,to cover with or as if with cloth or clothing dress
blades,7.0,leaf sense 1a(1)
chords,7.0,three or more musical tones sounded simultaneously
rotor,1.0,a part that revolves in a stationary part
rotorcraft,1.0,an aircraft (such as a helicopter) whose lift is derived principally from rotating airfoils
featheredge,1.0,a very thin sharp edge
soak,5.0,to lie immersed in liquid (such as water) become saturated by or as if by immersion
unethically,1.0,not conforming to a high moral standard morally wrong not ethical illegal and unethical business practices immoral and unethical behavior
exploiting,5.0,"deed, act"
Sacramento,1.0,river 382 miles (615 kilometers) long in northern California flowing south into Suisun Bay
barbs,3.0,a medieval cloth headdress passing over or under the chin and covering the neck
barbules,2.0,a minute barb
barbicels,1.0,any of the small hook-bearing processes on a barbule of a feather — see feather illustration
hooked,7.0,having the form of a hook
interlocking,3.0,to become locked together or interconnected
barb,1.0,a medieval cloth headdress passing over or under the chin and covering the neck
lineament,2.0,"an outline, feature, or contour of a body or figure and especially of a face"
phoneme,2.0,any of the abstract units of the phonetic system of a language that correspond to a set of similar speech sounds (such as the velar \k\ of cool and the palatal \k\ of keel) which are perceived to be a single distinctive sound in the language
morpheme,2.0,a distinctive collocation of phonemes (such as the free form pin or the bound form -s of pins) having no smaller meaningful parts
featured,5.0,having facial features of a particular kind
advertised,3.0,to make something known to notify
residuary,1.0,"of, relating to, or constituting a residue residuary estate"
Revolution,3.0,the action by a celestial body of going round in an orbit or elliptical course
centralized,1.0,to form a center cluster around a center
Federalists,1.0,an advocate of federalismsuch as
Federals,1.0,of or constituting a form of government in which power is distributed between a central authority and a number of constituent territorial units
smugglers,1.0,one who smuggles something
provinces,1.0,a country or region brought under the control of the ancient Roman government
enforced,4.0,to give force to strengthen
feudal,10.0,"of, relating to, or suggestive of feudalism feudal law a feudal lord"
heritable,1.0,capable of being inherited or of passing by inheritance
inheritable,1.0,capable of being inherited transmissible an inheritable title
alienability,1.0,transferable to another's ownership
terminating,8.0,to form an ending
defeasible,1.0,capable of being annulled or made void
alienable,1.0,transferable to another's ownership
entail,3.0,"to impose, involve, or imply as a necessary accompaniment or result"
De,1.0,defensive end
Donis,1.0,a fishing or coastwise trading boat of India
Conditionalibus,1.0,"legislation in late 13th-century England that allowed a conveyor of land to limit its inheritance to the direct descendants of the conveyee and to claim it back if the conveyee's direct line died out (fee tail). The statute consolidated the power to convey in the present possessor of land, effectively strengthening the authority of the feudal lords."
assessed,1.0,"to determine the rate or amount of (something, such as a tax, charge, or fine)"
gratify,8.0,to be a source of or give pleasure or satisfaction to
cues,2.0,the letter q
nourished,1.0,"nurture, rear … to save my boy, to nourish and bring him up …— Shakespeare"
channeled,1.0,the bed where a natural stream of water runs
feeding,10.0,the act or process of eating or being fed
audio,7.0,"of or relating to acoustic, mechanical, or electrical frequencies corresponding to normally audible sound waves which are of frequencies approximately from 15 to 20,000 hertz"
updates,1.0,to bring up to date
blogs,2.0,"a website that contains online personal reflections, comments, and often hyperlinks, videos, and photographs provided by the writer"
tactile,14.0,perceptible by touch tangible
intuitive,2.0,possessing or given to intuition or insight
Say,2.0,to express in words state
appreciative,3.0,having or showing appreciation an appreciative audience was appreciative of his good luck
susceptibility,2.0,the quality or state of being susceptible
undifferentiated,1.0,"not divided or able to be divided into different elements, types, etc. not differentiated undifferentiated cells an undifferentiated mass"
unreasoned,2.0,not founded on reason or reasoning
presentiment,1.0,a feeling that something will or is about to happen premonition
ascribed,1.0,acquired or assigned arbitrarily (as at birth)
haunted,1.0,to visit often frequent spends a lot of time haunting bookstores
conveys,5.0,to bear from one place to another
pleasantness,1.0,having qualities that tend to give pleasure agreeable a pleasant day
unpleasantness,2.0,the quality or state of being unpleasant
rejoin,1.0,to answer the replication of the plaintiff
fellows,3.0,"comrade, associate was eager to rejoin his fellows"
peer,5.0,one that is of equal standing with another equal The band mates welcomed the new member as a peer.
Alamos,1.0,a tree of the genus Populus
Laboratory,1.0,a place equipped for experimental study in a science or for testing and analysis
boyfriend,3.0,a male friend
stipend,2.0,a fixed sum of money paid periodically for services or to defray expenses
intern,1.0,an advanced student or graduate usually in a professional field (such as medicine or teaching) gaining supervised practical experience (as in a hospital or classroom)
specialty,5.0,a distinctive mark or quality
villain,3.0,a character in a story or play who opposes the hero
abscess,6.0,a localized collection of pus surrounded by inflamed tissue
palmar,2.0,"of, relating to, or involving the palm of the hand"
fingertip,2.0,the tip of a finger
staphylococcus,1.0,"any of a genus (Staphylococcus) of nonmotile gram-positive spherical bacteria that occur singly, in pairs or tetrads, or in irregular clusters and include causative agents of various diseases (such as skin infections, food poisoning, and endocarditis)"
whitlow,2.0,"an infection of the finger and especially the fingertip that is typically caused by infection of a virus (such as the herpes simplex virus) and is marked by redness, tenderness, and fluid-filled blisters"
Staphylococcus,1.0,"any of a genus (Staphylococcus) of nonmotile gram-positive spherical bacteria that occur singly, in pairs or tetrads, or in irregular clusters and include causative agents of various diseases (such as skin infections, food poisoning, and endocarditis)"
aureus,1.0,a gold coin of ancient Rome varying in weight from ¹/₃₀ to ¹/₇₀ libra
paronychia,1.0,inflammation of the tissues adjacent to the nail of a finger or toe usually accompanied by infection and pus formation
treason,3.0,the offense of attempting by overt acts to overthrow the government of the state to which the offender owes allegiance or to kill or personally injure the sovereign or the sovereign's family
pistils,8.0,"a single carpel or group of fused carpels usually differentiated into an ovary, style, and stigma — see flower illustration"
pistillate,12.0,having pistils
workforce,3.0,the workers engaged in a specific activity or enterprise
girls,19.0,a female child from birth to adulthood
femaleness,2.0,"of, relating to, or being the sex that typically has the capacity to bear young or produce eggs"
pistil,10.0,"a single carpel or group of fused carpels usually differentiated into an ovary, style, and stigma — see flower illustration"
stamens,16.0,a microsporophyll of a seed plant
fencing,10.0,"the art or practice of attack and defense with the foil, épée, or saber"
indecision,2.0,a wavering between two or more possible courses of action irresolution
tactics,2.0,the science and art of disposing and maneuvering forces in combat
parry,3.0,to ward off a weapon or blow
thieves,4.0,one that steals especially stealthily or secretly
swords,4.0,a weapon (such as a cutlass or rapier) with a long blade for cutting or thrusting that is often used as a symbol of honor or authority
observances,4.0,"a customary practice, rite, or ceremony"
conviviality,1.0,"relating to, occupied with, or fond of feasting, drinking, and good company"
transient,12.0,passing especially quickly into and out of existence transitory transient beauty
agitate,4.0,"to excite and often trouble the mind or feelings of disturb My presence did not appear to agitate or irritate him as before, and he accepted my services quietly …— Charlotte Brontë"
feverish,4.0,tending to cause fever
therapeutic,11.0,"of or relating to the treatment of disease or disorders by remedial agents or methods curative, medicinal therapeutic diets They confirmed the therapeutic effect of supplemental light in treating winter depression with phototherapy.— Richard Wurtman and Judith Wurtman A just-right amount is the therapeutic dose, just enough to provide the intended effect without problems.— Paul G. Donohue"
accelerated,1.0,occurring or developing at a faster rate than usual
systemic,4.0,"of, relating to, or common to a systemsuch as"
debility,3.0,"weakness, infirmity"
thirst,5.0,a sensation of dryness in the mouth and throat associated with a desire for liquids
malaria,3.0,"a human disease that is caused by sporozoan parasites (genus Plasmodium) in the red blood cells, is transmitted by the bite of anopheline mosquitoes, and is characterized by periodic attacks of chills and fever"
fevered,1.0,a rise of body temperature above the normal
intermittently,4.0,coming and going at intervals not continuous
